"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\basic.html", "HTML", 0, 70, -24, 5, 51
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\index.html", "HTML", 0, 220, -31, 19, 208
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\urls.py", "Python", 2, 0, 0, 0, 2
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\views.py", "Python", 16, 0, 1, 4, 21
"Total", "-", 18, 290, -54, 28, 282
